Date,Address,Latitude,Longitude,Coordinates,Number of Mosquitoes
29/5/07,"1100 Roosevelt Road, Chicago, IL 60608, USA",41.867108,-87.654224,"-87.654224,41.867108",3
29/5/07,"1100 South Peoria Street, Chicago, IL 60608, USA",41.862292,-87.64886,"-87.64886,41.862292",1
29/5/07,"1100 West Chicago Avenue, Chicago, IL 60642, USA",41.896282,-87.655232,"-87.655232,41.896282",1
29/5/07,"1500 North Long Avenue, Chicago, IL 60651, USA",41.907645,-87.760886,"-87.760886,41.907645",1
29/5/07,"1500 West Webster Avenue, Chicago, IL 60614, USA",41.9216,-87.666455,"-87.666455,41.9216",2
29/5/07,"1700 West 95th Street, Chicago, IL 60643, USA",41.720848,-87.666014,"-87.666014,41.720848",3
29/5/07,"2100 North Stave Street, Chicago, IL 60647, USA",41.919343,-87.694259,"-87.694259,41.919343",1
29/5/07,"2200 North Cannon Drive, Chicago, IL 60614, USA",41.921965,-87.632085,"-87.632085,41.921965",5
29/5/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",2
29/5/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",6
29/5/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",1
29/5/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",2
29/5/07,"6200 North Mandell Avenue, Chicago, IL 60646, USA",41.994991,-87.769279,"-87.769279,41.994991",1
29/5/07,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",41.999129,-87.795585,"-87.795585,41.999129",1
29/5/07,"7500 North Oakley Avenue, Chicago, IL 60645, USA",42.01743,-87.687769,"-87.687769,42.01743",1
29/5/07,"7900 West Foster Avenue, Chicago, IL 60656, USA",41.974089,-87.824812,"-87.824812,41.974089",5
29/5/07,"8900 South Carpenter Street, Chicago, IL 60620, USA",41.732984,-87.649642,"-87.649642,41.732984",1
29/5/07,"North Streeter Drive, Chicago, IL 60611, USA",41.891126,-87.61156,"-87.61156,41.891126",3
5/6/07,"1100 Roosevelt Road, Chicago, IL 60608, USA",41.867108,-87.654224,"-87.654224,41.867108",4
5/6/07,"1100 South State Street, Chicago, IL 60605, USA",41.869216,-87.627561,"-87.627561,41.869216",1
5/6/07,"1100 West Chicago Avenue, Chicago, IL 60642, USA",41.896282,-87.655232,"-87.655232,41.896282",2
5/6/07,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",41.906638,-87.701431,"-87.701431,41.906638",3
